strTaxClass,strSppC,strITIScode,strElCode,strGName,strSComNam,strSeasWarn,strGRank,strGRank2,strSRankAL,strSRankAL2,strSRankFL,strSRankFL2,strSRankGA,strSRankGA2,strSRankKY,strSRankKY2,strSRankMS,strSRankMS2,strSRankNC,strSRankNC2,strSRankSC,strSRankSC2,strSRankTN,strSRankTN2,strSRankVA,strSRankVA2,strSProtAL,strSProtFL,strSProtGA,strSProtKY,strSProtMS,strSProtNC,strSProtSC,strSProtTN,strSProtVA,strSGCNAL,strSGCNFL,strSGCNGA,strSGCNKY,strSGCNMS,strSGCNNC,strSGCNSC,strSGCNTN,strSGCNVA,USESA_CODE
Avian,bSNPL,176510,ABNNB03030,"Charadrius alexandrinus","Snowy Plover",,G4,,"S1B,S2N","S1B,S2N",S1,S1,,,,,S2,S2,SNA,,,,SNA,,SNA,,SP,ST,,,LE,,,,,1,0,0,0,0,0,0,1,0,
Avian,bSORA,176242,ABNME08020,"Porzana carolina",Sora,"Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5N,,SNRN,,S4,,SNA,,S5N,,S3N,S3N,SNRN,,"S1B,S4N","S1B,S4N","S1B,S2N","S1B,S2N",GB,,,N,,,,,,0,0,0,0,0,1,0,0,0,
Avian,bSOSP,179492,ABPBXA3010,"Melospiza melodia","Song Sparrow","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,"S3B,S5N","S3B,S5N",SNRN,,S5,,"S4S5B,S5N",,SNA,,"S5B,S5N",,"SNRB,SNRN",,S4,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bSOTE,176894,ABNNM08150,"Sterna fuscata","Sooty Tern","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,SNR,,S1,S1,SNA,,,,SNA,,"SUB,S3N","SUB,S3N",SNR,,,,SNA,,,,,,,W2,,,,0,1,0,0,0,0,0,0,0,
Avian,bSPSA,176612,ABNNF04020,"Actitis macularia","Spotted Sandpiper","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,SNA,,SNRN,,S4,,S1B,S1B,SNA,,SNA,,S4,,S2B,S2B,S2B,S2B,,,,E,,,,,,0,0,0,0,0,0,1,0,0,
Avian,bSSHA,175304,ABNKC12020,"Accipiter striatus","Sharp-shinned Hawk","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,"S3B,S4N","S3B,S4N",SNRN,,S4,,"S3B,S4N","S3B,S4N",S1?B,S1?B,"S2B,S4N","S2B,S4N",S2N,S2N,S3B,S3B,S3S4,S3S4,,,,S,,SR,,D,,0,0,0,1,0,1,0,1,0,
Avian,bSSTS,179344,ABPBXA0050,"Ammodramus caudacutus","Saltmarsh Sharp-tailed Sparrow",,G4,,S4N,,SNRN,,S3,S3,,,,,"SUB,S4N",,SNRN,,,,"S2B,S3N","S2B,S3N",,,,,,W3,,,SC,0,0,0,0,0,1,0,0,1,
Avian,bSTHA,175372,ABNKC19060,"Buteo brachyurus","Short-tailed Hawk","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G4G5,,,,S1,S1,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,
Avian,bSTKI,175289,ABNKC04010,"Elanoides forficatus","Swallow-tailed Kite","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S2,S2,S2,S2,S2,S2,SXB,,S2B,S2B,SUB,,S2,S2,SNA,,SNA,,,,R,X,,W3,SE,,,1,1,1,1,1,1,1,1,0,
Avian,bSUTA,179888,ABPBX45030,"Piranga rubra","Summer Tanager","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5B,,SNRB,,S5,,S5B,,S5B,,S5B,,,,S4,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
